"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Users API","1","0","Create user","0"
"0","","0","Mobile Viewport","5","0","Viewport size check","0"
"0","","0","Custom Viewport","5","0","Responsive layout","0"
"1","","0","Login","4","0","Invalid login","0"
"0","","0","Users API","6","0","Get all users","0"
"0","","0","Data Driven Login","1","0","Excel data driven — valid login","0"
"0","","0","WireMock - External Payment Service","0","1","","0"
"0","","0","Mobile Viewport","5","0","Mobile page load","0"
"0","","0","Posts API","1","0","Get all posts","0"
"0","","0","Navigation","1","0","Page title","0"
"0","","0","Posts API","4","0","GET Requests","0"
"0","","0","Data Driven Login","2","0","Excel data driven — invalid login","0"
"1","","0","Data Driven Login","3","0","CSV data driven login","0"
"0","","0","WireMock - Failure Simulation","0","1","","0"
"0","","0","","2","0","","0"
"0","","0","Posts API","4","0","POST / PUT / PATCH / DELETE","0"
"0","","0","WireMock - User Service","0","2","","0"
"0","","0","Comments API","2","0","Nested resource validation","0"
"0","","0","Navigation","1","0","Logout","0"
"0","","0","Users API","2","0","Get single user","0"
"0","","0","Mobile Viewport","2","0","Mobile login flow","0"
"0","","0","Users API","1","0","Delete user","0"
"0","","0","Response Headers & Content-Type","1","0","","0"
"0","","0","WireMock - Admin API","0","1","","0"
"0","","0","Posts API","1","0","Create post","0"
"0","","0","Login","1","0","Valid login","0"
"0","","0","Users API","1","0","Update user","0"
"0","","0","Posts API","1","0","Response time","0"
