"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","test_create_user_returns_201","tests.api","2026-06-01","passed","2026-06-01","TestUsersAPI","test_api_users","",""
"","235","test_correct_viewport_applied[chromium-iPad (gen 7)]","tests","2026-06-01","passed","2026-06-01","TestMobileDevices","test_mobile","",""
"","627","test_page_loads_on_custom_viewport[chromium-custom_viewport_page4]","tests","2026-06-01","passed","2026-06-01","TestCustomViewports","test_mobile","",""
"","420","test_correct_viewport_applied[chromium-Pixel 5]","tests","2026-06-01","passed","2026-06-01","TestMobileDevices","test_mobile","",""
"","524","test_invalid_login_scenarios[chromium-wronguser-Password123-Your username is invalid!]","tests","2026-06-01","passed","2026-06-01","TestLogin","test_login","",""
"","523","test_invalid_password[chromium]","tests","2026-06-01","passed","2026-06-01","TestLogin","test_login","",""
"","34","test_get_all_users_returns_200","tests.api","2026-06-01","passed","2026-06-01","TestUsersAPI","test_api_users","",""
"","1094","test_valid_login_from_excel[chromium-student-Password123-Logged In Successfully]","tests","2026-06-01","passed","2026-06-01","TestDataDrivenExcel","test_data_driven","",""
"","526","test_invalid_login_scenarios[chromium-student-wrongpass-Your password is invalid!]","tests","2026-06-01","passed","2026-06-01","TestLogin","test_login","",""
"","0","POST /api/payment/process returns mocked SUCCESS response","tests.wiremock","2026-06-01","skipped","2026-06-01","TestMockedPaymentService","test_wiremock_services","",""
"","755","test_login_page_loads_on_mobile[chromium-Galaxy S8]","tests","2026-06-01","passed","2026-06-01","TestMobileDevices","test_mobile","",""
"","55","test_get_all_posts_returns_200","tests.api","2026-06-01","passed","2026-06-01","TestPostsAPI","test_api_posts","",""
"","220","test_correct_viewport_applied[chromium-iPhone 13]","tests","2026-06-01","passed","2026-06-01","TestMobileDevices","test_mobile","",""
"","267","test_page_title[chromium]","tests","2026-06-01","passed","2026-06-01","TestNavigation","test_navigation","",""
"","18","GET single post by ID returns correct post","tests.api","2026-06-01","passed","2026-06-01","TestGetPosts","test_posts_api","",""
"","515","test_invalid_username[chromium]","tests","2026-06-01","passed","2026-06-01","TestLogin","test_login","",""
"","529","test_invalid_login_from_excel[chromium-wronguser-Password123-Your username is invalid!]","tests","2026-06-01","passed","2026-06-01","TestDataDrivenExcel","test_data_driven","",""
"","31258","test_login_with_csv_data[chromium---Your username is invalid!-empty]","tests","2026-06-01","broken","2026-06-01","TestDataDrivenCSV","test_data_driven","",""
"","722","test_login_page_loads_on_mobile[chromium-iPhone 13]","tests","2026-06-01","passed","2026-06-01","TestMobileDevices","test_mobile","",""
"
        Validates that our app handles downstream failures correctly.
        WireMock simulates the inventory service returning 503.
        ","0","GET /api/external/inventory returns mocked 503 failure","tests.wiremock","2026-06-01","skipped","2026-06-01","TestMockedServiceFailures","test_wiremock_services","",""
"","385","test_google_title[chromium]","tests","2026-06-01","passed","2026-06-01","","test_sample","",""
"","14","DELETE a post returns 200","tests.api","2026-06-01","passed","2026-06-01","TestCrudPosts","test_posts_api","",""
"","0","POST /api/users creates mocked user and returns 201","tests.wiremock","2026-06-01","skipped","2026-06-01","TestMockedUserService","test_wiremock_services","",""
"","25","GET comments for a post via query param","tests.api","2026-06-01","passed","2026-06-01","TestComments","test_posts_api","",""
"","1067","test_logout_redirects_to_login[chromium]","tests","2026-06-01","passed","2026-06-01","TestNavigation","test_navigation","",""
"","504","test_login_with_csv_data[chromium-wronguser-Password123-Your username is invalid!-invalid]","tests","2026-06-01","passed","2026-06-01","TestDataDrivenCSV","test_data_driven","",""
"","13","GET posts filtered by userId","tests.api","2026-06-01","passed","2026-06-01","TestGetPosts","test_posts_api","",""
"","485","test_login_with_csv_data[chromium-student-wrongpass-Your password is invalid!-invalid]","tests","2026-06-01","passed","2026-06-01","TestDataDrivenCSV","test_data_driven","",""
"","501","test_page_loads_on_custom_viewport[chromium-custom_viewport_page0]","tests","2026-06-01","passed","2026-06-01","TestCustomViewports","test_mobile","",""
"","11","test_get_single_user_returns_correct_data","tests.api","2026-06-01","passed","2026-06-01","TestUsersAPI","test_api_users","",""
"","886","test_login_works_on_mobile[chromium-Pixel 5]","tests","2026-06-01","passed","2026-06-01","TestMobileDevices","test_mobile","",""
"","11","GET non-existent post returns 404","tests.api","2026-06-01","passed","2026-06-01","TestGetPosts","test_posts_api","",""
"","13","test_delete_user_returns_200","tests.api","2026-06-01","passed","2026-06-01","TestUsersAPI","test_api_users","",""
"","10","test_multiple_users_exist[4]","tests.api","2026-06-01","passed","2026-06-01","TestUsersAPI","test_api_users","",""
"","30652","test_invalid_login_scenarios[chromium---Your username is invalid!]","tests","2026-06-01","broken","2026-06-01","TestLogin","test_login","",""
"","10","test_multiple_users_exist[5]","tests.api","2026-06-01","passed","2026-06-01","TestUsersAPI","test_api_users","",""
"","11","Response Content-Type is application/json","tests.api","2026-06-01","passed","2026-06-01","TestResponseHeaders","test_posts_api","",""
"","18","PATCH updates partial fields of a post","tests.api","2026-06-01","passed","2026-06-01","TestCrudPosts","test_posts_api","",""
"","13","test_multiple_users_exist[3]","tests.api","2026-06-01","passed","2026-06-01","TestUsersAPI","test_api_users","",""
"","421","test_login_page_loads_on_mobile[chromium-iPhone SE]","tests","2026-06-01","passed","2026-06-01","TestMobileDevices","test_mobile","",""
"","339","GET all posts returns 200 and non-empty list","tests.api","2026-06-01","passed","2026-06-01","TestGetPosts","test_posts_api","",""
"","29","PUT replaces a post entirely and returns 200","tests.api","2026-06-01","passed","2026-06-01","TestCrudPosts","test_posts_api","",""
"","18","POST creates a new post and returns 201","tests.api","2026-06-01","passed","2026-06-01","TestCrudPosts","test_posts_api","",""
"","506","test_invalid_login_from_excel[chromium-student-wrongpass-Your password is invalid!]","tests","2026-06-01","passed","2026-06-01","TestDataDrivenExcel","test_data_driven","",""
"","410","test_correct_viewport_applied[chromium-iPhone SE]","tests","2026-06-01","passed","2026-06-01","TestMobileDevices","test_mobile","",""
"","0","GET /api/users/1 returns mocked user data","tests.wiremock","2026-06-01","skipped","2026-06-01","TestMockedUserService","test_wiremock_services","",""
"","700","test_login_page_loads_on_mobile[chromium-Pixel 5]","tests","2026-06-01","passed","2026-06-01","TestMobileDevices","test_mobile","",""
"Verifies all expected stub mappings are loaded in WireMock.","0","WireMock admin endpoint lists all registered stubs","tests.wiremock","2026-06-01","skipped","2026-06-01","TestWireMockAdmin","test_wiremock_services","",""
"","13","test_create_post","tests.api","2026-06-01","passed","2026-06-01","TestPostsAPI","test_api_posts","",""
"","8","test_multiple_users_exist[1]","tests.api","2026-06-01","passed","2026-06-01","TestUsersAPI","test_api_users","",""
"","1132","test_valid_login[chromium]","tests","2026-06-01","passed","2026-06-01","TestLogin","test_login","",""
"","587","test_page_loads_on_custom_viewport[chromium-custom_viewport_page3]","tests","2026-06-01","passed","2026-06-01","TestCustomViewports","test_mobile","",""
"","439","test_correct_viewport_applied[chromium-Galaxy S8]","tests","2026-06-01","passed","2026-06-01","TestMobileDevices","test_mobile","",""
"","14","GET comments via nested route /posts/1/comments","tests.api","2026-06-01","passed","2026-06-01","TestComments","test_posts_api","",""
"","28","test_update_user_returns_200","tests.api","2026-06-01","passed","2026-06-01","TestUsersAPI","test_api_users","",""
"","8","test_response_time_under_2_seconds","tests.api","2026-06-01","passed","2026-06-01","TestPostsAPI","test_api_posts","",""
"","1288","test_login_with_csv_data[chromium-student-Password123-Logged In Successfully-valid]","tests","2026-06-01","passed","2026-06-01","TestDataDrivenCSV","test_data_driven","",""
"","303","test_page_loads_on_custom_viewport[chromium-custom_viewport_page1]","tests","2026-06-01","passed","2026-06-01","TestCustomViewports","test_mobile","",""
"","508","test_page_loads_on_custom_viewport[chromium-custom_viewport_page2]","tests","2026-06-01","passed","2026-06-01","TestCustomViewports","test_mobile","",""
"","18","test_get_nonexistent_user_returns_404","tests.api","2026-06-01","passed","2026-06-01","TestUsersAPI","test_api_users","",""
"","160","test_playwright_website[chromium]","tests","2026-06-01","passed","2026-06-01","","test_sample","",""
"","652","test_login_page_loads_on_mobile[chromium-iPad (gen 7)]","tests","2026-06-01","passed","2026-06-01","TestMobileDevices","test_mobile","",""
"","12","test_multiple_users_exist[2]","tests.api","2026-06-01","passed","2026-06-01","TestUsersAPI","test_api_users","",""
"","1104","test_login_works_on_mobile[chromium-iPhone 13]","tests","2026-06-01","passed","2026-06-01","TestMobileDevices","test_mobile","",""
